customer_id,internet_service_type_id,contract_type_id,payment_type_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,churn,churn_month,payment_type,contract_type,payment_type_id,monthly_charges,total_charges,contract_type_id,paperless_billing,internet_service_type,gender,senior_citizen,partner,dependents,signup_date,phone_service,multiple_lines,internet_service_type_id,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies
0002-ORFBO,1,2,2,Female,0,Yes,Yes,9,Yes,No,No,Yes,No,Yes,Yes,No,Yes,65.6,593.3,No,NULL,"Mailed check","One year",2,65.6,593.3,2,Yes,DSL,Female,0,Yes,Yes,"2021-04-21 18:07:34",Yes,No,1,No,Yes,No,Yes,Yes,No
0003-MKNFE,1,1,2,Male,0,No,No,9,Yes,Yes,No,No,No,No,No,Yes,No,59.9,542.4,No,NULL,"Mailed check",Month-to-month,2,59.9,542.4,1,No,DSL,Male,0,No,No,"2021-04-21 18:07:34",Yes,Yes,1,No,No,No,No,No,Yes
0004-TLHLJ,2,1,1,Male,0,No,No,4,Yes,No,No,No,Yes,No,No,No,Yes,73.9,280.85,Yes,2022-01-31,"Electronic check",Month-to-month,1,73.9,280.85,1,Yes,"Fiber optic",Male,0,No,No,"2021-09-21 18:07:34",Yes,No,2,No,No,Yes,No,No,No
0011-IGKFF,2,1,1,Male,1,Yes,No,13,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,98,1237.85,Yes,2022-01-31,"Electronic check",Month-to-month,1,98,1237.85,1,Yes,"Fiber optic",Male,1,Yes,No,"2020-12-21 18:07:34",Yes,No,2,No,Yes,Yes,No,Yes,Yes
0013-EXCHZ,2,1,2,Female,1,Yes,No,3,Yes,No,No,No,No,Yes,Yes,No,Yes,83.9,267.4,Yes,2022-01-31,"Mailed check",Month-to-month,2,83.9,267.4,1,Yes,"Fiber optic",Female,1,Yes,No,"2021-10-21 18:07:34",Yes,No,2,No,No,No,Yes,Yes,No
0013-MHZWF,1,1,4,Female,0,No,Yes,9,Yes,No,No,No,No,Yes,Yes,Yes,Yes,69.4,571.45,No,NULL,"Credit card (automatic)",Month-to-month,4,69.4,571.45,1,Yes,DSL,Female,0,No,Yes,"2021-04-21 18:07:34",Yes,No,1,No,No,No,Yes,Yes,Yes
0013-SMEOE,2,3,3,Female,1,Yes,No,71,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,109.7,7904.25,No,NULL,"Bank transfer (automatic)","Two year",3,109.7,7904.25,3,Yes,"Fiber optic",Female,1,Yes,No,"2016-02-21 18:07:34",Yes,No,2,Yes,Yes,Yes,Yes,Yes,Yes
0014-BMAQU,2,3,4,Male,0,Yes,No,63,Yes,Yes,Yes,No,No,Yes,No,No,Yes,84.65,5377.8,No,NULL,"Credit card (automatic)","Two year",4,84.65,5377.8,3,Yes,"Fiber optic",Male,0,Yes,No,"2016-10-21 18:07:34",Yes,Yes,2,Yes,No,No,Yes,No,No
0015-UOCOJ,1,1,1,Female,1,No,No,7,Yes,No,Yes,No,No,No,No,No,Yes,48.2,340.35,No,NULL,"Electronic check",Month-to-month,1,48.2,340.35,1,Yes,DSL,Female,1,No,No,"2021-06-21 18:07:34",Yes,No,1,Yes,No,No,No,No,No
0016-QLJIS,1,3,2,Female,0,Yes,Yes,65,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,90.45,5957.9,No,NULL,"Mailed check","Two year",2,90.45,5957.9,3,Yes,DSL,Female,0,Yes,Yes,"2016-08-21 18:07:34",Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes
0017-DINOC,1,3,4,Male,0,No,No,54,No,"No phone service",Yes,No,No,Yes,Yes,No,No,45.2,2460.55,No,NULL,"Credit card (automatic)","Two year",4,45.2,2460.55,3,No,DSL,Male,0,No,No,"2017-07-21 18:07:34",No,"No phone service",1,Yes,No,No,Yes,Yes,No
0017-IUDMW,2,3,4,Female,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,116.8,8456.75,No,NULL,"Credit card (automatic)","Two year",4,116.8,8456.75,3,Yes,"Fiber optic",Female,0,Yes,Yes,"2016-01-21 18:07:34",Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes
0018-NYROU,2,1,1,Female,0,Yes,No,5,Yes,No,No,No,No,No,No,No,Yes,68.95,351.5,No,NULL,"Electronic check",Month-to-month,1,68.95,351.5,1,Yes,"Fiber optic",Female,0,Yes,No,"2021-08-21 18:07:34",Yes,No,2,No,No,No,No,No,No
0019-EFAEP,2,3,3,Female,0,No,No,72,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,101.3,7261.25,No,NULL,"Bank transfer (automatic)","Two year",3,101.3,7261.25,3,Yes,"Fiber optic",Female,0,No,No,"2016-01-21 18:07:34",Yes,Yes,2,Yes,Yes,Yes,No,Yes,No
0019-GFNTW,1,3,3,Female,0,No,No,56,No,"No phone service",Yes,Yes,Yes,Yes,No,No,No,45.05,2560.1,No,NULL,"Bank transfer (automatic)","Two year",3,45.05,2560.1,3,No,DSL,Female,0,No,No,"2017-05-21 18:07:34",No,"No phone service",1,Yes,Yes,Yes,Yes,No,No
0020-INWCK,2,3,4,Female,0,Yes,Yes,71,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,95.75,6849.4,No,NULL,"Credit card (automatic)","Two year",4,95.75,6849.4,3,Yes,"Fiber optic",Female,0,Yes,Yes,"2016-02-21 18:07:34",Yes,Yes,2,No,Yes,Yes,No,No,Yes
0020-JDNXP,1,2,2,Female,0,Yes,Yes,34,No,"No phone service",Yes,No,Yes,Yes,Yes,Yes,No,61.25,1993.2,No,NULL,"Mailed check","One year",2,61.25,1993.2,2,No,DSL,Female,0,Yes,Yes,"2019-03-21 18:07:34",No,"No phone service",1,Yes,No,Yes,Yes,Yes,Yes
0021-IKXGC,2,1,1,Female,1,No,No,1,Yes,Yes,No,No,No,No,No,No,Yes,72.1,72.1,No,NULL,"Electronic check",Month-to-month,1,72.1,72.1,1,Yes,"Fiber optic",Female,1,No,No,"2021-12-21 18:07:34",Yes,Yes,2,No,No,No,No,No,No
0022-TCJCI,1,2,4,Male,1,No,No,45,Yes,No,Yes,No,Yes,No,No,Yes,No,62.7,2791.5,Yes,2022-01-31,"Credit card (automatic)","One year",4,62.7,2791.5,2,No,DSL,Male,1,No,No,"2018-04-21 18:07:34",Yes,No,1,Yes,No,Yes,No,No,Yes
0023-HGHWL,1,1,1,Male,1,No,No,1,No,"No phone service",No,No,No,No,No,No,Yes,25.1,25.1,Yes,2022-01-31,"Electronic check",Month-to-month,1,25.1,25.1,1,Yes,DSL,Male,1,No,No,"2021-12-21 18:07:34",No,"No phone service",1,No,No,No,No,No,No
0023-UYUPN,3,2,1,Female,1,Yes,No,50,Yes,Yes,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",No,25.2,1306.3,No,NULL,"Electronic check","One year",1,25.2,1306.3,2,No,None,Female,1,Yes,No,"2017-11-21 18:07:34",Yes,Yes,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0023-XUOPT,2,1,1,Female,0,Yes,No,13,Yes,Yes,No,Yes,Yes,No,Yes,No,No,94.1,1215.6,Yes,2022-01-31,"Electronic check",Month-to-month,1,94.1,1215.6,1,No,"Fiber optic",Female,0,Yes,No,"2020-12-21 18:07:34",Yes,Yes,2,No,Yes,Yes,No,Yes,No
